	B_ThCSE - FS_ThCSE	B_Th - FS_Th	diff_ThCSE_Th	pattern
ADCK2	0	0	0	0x0x0
ADCK4	0	0	0	0x0x0
ADCK5	0	0	0	0x0x0
ADCY1	0	0	0	0x0x0
ADCY10	0	0	0	0x0x0
ADCY2	0	0	0	0x0x0
ADCY3	0	0	0	0x0x0
ADCY4	0	0	0	0x0x0
ADCY5	0	0	0	0x0x0
ADCY6	0	0	0	0x0x0
ADCY7	0	1	0	0x1x0
ADCY8	0	0	0	0x0x0
ADCY9	0	0	0	0x0x0
ADCYAP1	0	0	0	0x0x0
ADCYAP1R1	0	0	0	0x0x0
ADD1	0	0	0	0x0x0
ADD2	0	0	0	0x0x0
ADD3	0	0	0	0x0x0
ADH1A	0	0	0	0x0x0
ADH1B	0	0	0	0x0x0
ADH1C	0	0	0	0x0x0
ADH4	0	0	0	0x0x0
ADH5	0	0	0	0x0x0
ADH6	0	0	0	0x0x0
ADH7	0	0	0	0x0x0
ADHFE1	0	0	0	0x0x0
ADI1	0	0	0	0x0x0
ADIG	0	0	0	0x0x0
ADIPOQ	0	0	0	0x0x0
ADIPOR1	0	0	0	0x0x0
ADIPOR2	0	0	0	0x0x0
ADK	0	0	0	0x0x0
ADM	1	1	0	1x1x0
ADM2	0	0	0	0x0x0
ADNP	0	0	0	0x0x0
ADNP2	0	0	0	0x0x0
ADO	0	0	0	0x0x0
ADORA1	0	0	0	0x0x0
ADORA2A	0	1	0	0x1x0
ADORA2B	1	1	0	1x1x0
ADORA3	0	0	0	0x0x0
ADPGK	0	0	0	0x0x0
ADPRH	0	0	0	0x0x0
ADPRHL1	0	0	0	0x0x0
ADPRHL2	1	1	0	1x1x0
ADRA1A	0	0	0	0x0x0
ADRA1B	0	0	0	0x0x0
ADRA1D	0	0	0	0x0x0
ADRA2A	0	0	0	0x0x0
ADRA2B	0	0	0	0x0x0
ADRA2C	0	0	0	0x0x0
ADRB1	0	0	0	0x0x0
ADRB2	0	0	0	0x0x0
ADRB3	0	0	0	0x0x0
ADRBK1	0	0	0	0x0x0
ADRBK2	0	0	0	0x0x0
ADRM1	0	0	0	0x0x0
ADSL	0	0	0	0x0x0
ADSS	0	0	0	0x0x0
ADSSL1	0	0	0	0x0x0
AEBP1	0	0	0	0x0x0
AEBP2	0	0	0	0x0x0
AEN	0	0	0	0x0x0
AES	0	0	0	0x0x0
AFAP1	0	0	0	0x0x0
AFAP1L1	0	0	0	0x0x0
AFAP1L2	0	0	0	0x0x0
AFAR3	0	0	0	0x0x0
AFARP1	0	0	0	0x0x0
